city,lat,lng,country,population,predicted_population
Tokyo,35.685,139.7514,Japan,35676000,35675536.19819907
New York,40.6943,-73.9249,United States,19354922,19356835.81247829
Mexico City,19.4424,-99.131,Mexico,19028000,19030077.758579597
Mumbai,19.017,72.857,India,18978000,18977650.896248873
São Paulo,-23.5587,-46.625,Brazil,18845000,18845522.238114323
Delhi,28.67,77.23,India,15926000,15924017.533908192
Shanghai,31.2165,121.4365,China,14987000,14987002.903873194
Kolkata,22.495,88.3247,India,14787000,14788472.472160818
Los Angeles,34.1139,-118.4068,United States,12815475,12814914.914922073
Dhaka,23.7231,90.4086,Bangladesh,12797394,12798168.730513848
Buenos Aires,-34.6025,-58.3975,Argentina,12795000,12796320.682323946
Karachi,24.87,66.99,Pakistan,12130000,12131227.356294123
Cairo,30.05,31.25,Egypt,11893000,11894180.186532618
Rio de Janeiro,-22.925,-43.225,Brazil,11748000,11746854.59180207
Ōsaka,34.75,135.4601,Japan,11294000,11294325.021893509
Beijing,39.9289,116.3883,China,11106000,11105398.429012556
Manila,14.6042,120.9822,Philippines,11100000,11100161.795456408
Moscow,55.7522,37.6155,Russia,10452000,10451265.288826404
Istanbul,41.105,29.01,Turkey,10061000,10061027.027129728
Paris,48.8667,2.3333,France,9904000,9906182.587709675
Seoul,37.5663,126.9997,"Korea, South",9796000,9796719.540634776
Lagos,6.4433,3.3915,Nigeria,9466000,9464995.678529393
Jakarta,-6.1744,106.8294,Indonesia,9125000,9124791.712759428
Guangzhou,23.145,113.325,China,8829000,8829227.696029656
Chicago,41.8373,-87.6861,United States,8675982,8676397.411194256
London,51.5,-0.1167,United Kingdom,8567000,8567415.861850059
Lima,-12.048,-77.0501,Peru,8012000,8012470.295641271
Tehran,35.6719,51.4243,Iran,7873000,7872701.597811022
Kinshasa,-4.3297,15.315,Congo (Kinshasa),7843000,7843112.551834592
Bogota,4.5964,-74.0833,Colombia,7772000,7772177.68613245
Shenzhen,22.5524,114.1221,China,7581000,7580954.834646132
Wuhan,30.58,114.27,China,7243000,7242387.639717308
Hong Kong,22.305,114.185,Hong Kong,7206000,7207531.294684924
Tianjin,39.13,117.2,China,7180000,7179098.354926896
Chennai,13.09,80.28,India,7163000,7164582.682296571
Taipei,25.0358,121.5683,Taiwan,6900273,6900689.678900925
Bangalore,12.97,77.56,India,6787000,6787758.681814533
Bangkok,13.75,100.5166,Thailand,6704000,6704183.822906945
Lahore,31.56,74.35,Pakistan,6577000,6574825.246432095
Chongqing,29.565,106.595,China,6461000,6459240.651951108
Miami,25.784,-80.2102,United States,6381966,6382782.288319373
Hyderabad,17.4,78.48,India,6376000,6376230.438436256
Dallas,32.7937,-96.7662,United States,5733259,5735174.160694048
Santiago,-33.45,-70.667,Chile,5720000,5719588.989810707
Philadelphia,40.0076,-75.134,United States,5637884,5638149.123106631
Belo Horizonte,-19.915,-43.915,Brazil,5575000,5575045.640224101
Madrid,40.4,-3.6834,Spain,5567000,5567831.510027981
Houston,29.7868,-95.3905,United States,5446468,5445402.050156382
Ahmedabad,23.0301,72.58,India,5375000,5374251.340611664
Ho Chi Minh City,10.78,106.695,Vietnam,5314000,5313707.407475824
Washington,38.9047,-77.0163,United States,5289420,5288388.375696878
Atlanta,33.7626,-84.4228,United States,5228750,5228022.207078276
Toronto,43.7,-79.42,Canada,5213000,5212082.057252007
Singapore,1.293,103.8558,Singapore,5183700,5184138.463634238
Luanda,-8.8383,13.2344,Angola,5172900,5172205.82122057
Baghdad,33.3386,44.3939,Iraq,5054000,5054220.955648033
Barcelona,41.3833,2.1834,Spain,4920000,4918819.312506392
Haora,22.5804,88.3299,India,4841638,4841000.369444483
Shenyeng,41.805,123.45,China,4787000,4788379.670219868
Khartoum,15.5881,32.5342,Sudan,4754000,4753523.661316847
Pune,18.53,73.85,India,4672000,4670619.373519963
Boston,42.3188,-71.0846,United States,4637537,4638563.507618676
Sydney,-33.92,151.1852,Australia,4630000,4629440.010810719
St. Petersburg,59.939,30.316,Russia,4553000,4553113.300980519
Chittagong,22.33,91.8,Bangladesh,4529000,4528609.470095252
Dongguan,23.0489,113.7447,China,4528000,4528070.165299429
Riyadh,24.6408,46.7727,Saudi Arabia,4465000,4466572.688284461
Hanoi,21.0333,105.85,Vietnam,4378000,4377642.389473102
Guadalajara,20.67,-103.33,Mexico,4198000,4198481.872254046
Melbourne,-37.82,144.975,Australia,4170000,4170373.669660549
Alexandria,31.2,29.95,Egypt,4165000,4163233.8992478633
Chengdu,30.67,104.07,China,4123000,4121787.501372488
Rangoon,16.7834,96.1667,Burma,4088000,4087583.952290009
Phoenix,33.5722,-112.0891,United States,4081849,4080040.105092839
Xian,34.275,108.895,China,4009000,4008781.3141579144
